mlbam_id,name,date,proc_z,ra9_adj,n14,n46,d_velo,z_velo,z_whiff,z_csw,z_kbb,z_sec_velo,z_pitches14
656876,"Rasmussen, Drew",2026-09-26,0.573,-0.057,190,746,-0.21,-0.36,1.48,1.1,-0.1,0.16,-0.25
686613,"Brown, Hunter",2026-09-26,0.567,-0.057,289,770,-0.43,-0.75,1.52,0.46,0.63,-1.35,1.5
671096,"Abbott, Andrew",2026-09-26,0.55,-0.055,198,634,-0.23,-0.41,1.17,0.39,0.46,0.45,-0.11
663436,"Martin, Davis",2026-09-26,0.533,-0.053,141,403,0.63,1.09,0.27,0.11,0.26,1.28,-1.12
695505,"Burns, Chase",2026-09-26,0.514,-0.051,123,678,0.39,0.67,1.73,-0.2,-1.01,2.06,-1.44
688107,"Gasser, Robert",2026-09-26,0.492,-0.049,283,590,-0.39,-0.67,0.44,0.08,0.16,0.34,1.39
669432,"Rogers, Trevor",2026-09-26,0.489,-0.049,249,751,-0.42,-0.74,0.83,0.32,-0.16,0.68,0.79
680736,"Wrobleski, Justin",2026-09-26,0.454,-0.045,105,486,0.97,1.69,0.68,0.47,0.02,0.5,-1.76
807739,"Anderson, Kade",2026-09-26,0.446,-0.045,156,326,-0.4,-0.69,0.86,0.79,1.95,-0.49,-0.86
607074,"Rodón, Carlos",2026-09-26,0.429,-0.043,198,412,-0.36,-0.63,1.11,1.36,0.25,-0.45,-0.11
657746,"Ryan, Joe",2026-09-26,0.402,-0.04,286,258,0.45,0.78,0.4,0.1,-0.05,-1.26,1.44
518876,"Kelly, Merrill",2026-09-26,0.4,-0.04,169,707,0.17,0.29,0.12,0.14,1.62,-0.12,-0.63
607625,"Lugo, Seth",2026-09-26,0.383,-0.038,148,827,0.1,0.18,0.57,0.62,0.93,0.06,-1.0
687312,"Hughes, Gabriel",2026-09-26,0.376,-0.038,165,663,0.39,0.68,0.6,0.63,0.7,-0.58,-0.7
593958,"Rodriguez, Eduardo",2026-09-26,0.371,-0.037,294,820,0.47,0.81,-0.02,-0.46,-0.14,-0.46,1.59
683003,"Jones, Jared",2026-09-26,0.333,-0.033,177,668,-0.31,-0.54,-0.17,0.26,2.21,-0.09,-0.48
663567,"Lambert, Peter",2026-09-26,0.299,-0.03,234,749,0.06,0.11,-0.51,0.28,0.9,-0.24,0.52
691587,"Pérez, Eury",2026-09-26,0.293,-0.029,312,760,-0.12,-0.21,-0.69,-0.43,0.73,-0.27,1.9
650633,"King, Michael",2026-09-26,0.288,-0.029,281,768,-0.11,-0.19,-0.42,-0.37,0.34,0.3,1.36
677958,"Rocker, Kumar",2026-09-26,0.275,-0.028,220,597,0.04,0.07,-0.04,0.53,0.06,0.08,0.28
605135,"Bassitt, Chris",2026-09-26,0.24,-0.024,185,569,0.6,1.05,-0.19,-1.37,0.28,1.42,-0.34
694819,"Misiorowski, Jacob",2026-09-26,0.233,-0.023,126,645,0.37,0.65,0.07,0.2,1.05,0.24,-1.39
672282,"Detmers, Reid",2026-09-26,0.224,-0.022,262,731,0.07,0.12,0.16,0.01,-0.14,-0.38,1.02
683627,"Molina, Anthony",2026-09-26,0.207,-0.021,167,286,0.49,0.85,-0.56,0.6,0.65,-0.15,-0.66
800048,"Messick, Parker",2026-09-26,0.081,-0.008,182,785,0.46,0.79,-0.53,-0.42,0.25,0.59,-0.4
700363,"Smith-Shawver, AJ",2026-09-26,0.065,-0.006,156,401,1.0,1.74,-1.02,0.22,0.38,-0.24,-0.86
693855,"Seymour, Ian",2026-09-26,0.054,-0.005,224,693,-0.13,-0.23,0.26,-0.02,-0.35,0.18,0.35
680732,"Burke, Sean",2026-09-26,0.024,-0.002,281,690,-0.36,-0.62,-0.26,-0.13,0.43,-0.69,1.36
800600,"Kent, Jackson",2026-09-26,0.022,-0.002,160,517,0.04,0.07,-0.63,0.95,0.28,0.2,-0.79
665152,"Kremer, Dean",2026-09-26,0.009,-0.001,190,686,-0.71,-1.24,0.81,0.4,1.23,-0.91,-0.25
640455,"Manaea, Sean",2026-09-26,-0.015,0.002,166,708,-0.8,-1.39,0.76,0.63,1.59,-0.97,-0.68
663372,"Feltner, Ryan",2026-09-26,-0.041,0.004,122,707,0.85,1.48,-0.27,-0.87,0.89,0.08,-1.46
605488,"Springs, Jeffrey",2026-09-26,-0.049,0.005,150,525,0.11,0.19,0.79,-0.22,0.88,-0.85,-0.96
656550,"Holmes, Grant",2026-09-26,-0.071,0.007,212,576,0.62,1.08,-0.92,-1.05,-0.87,1.38,0.13
592662,"Ray, Robbie",2026-09-26,-0.09,0.009,172,707,0.51,0.88,-2.32,-1.44,0.94,2.2,-0.57
672456,"Montero, Keider",2026-09-26,-0.134,0.013,147,563,-0.91,-1.58,0.37,1.03,1.39,-0.66,-1.02
607259,"Martinez, Nick",2026-09-26,-0.145,0.015,166,660,0.26,0.46,-0.22,-1.51,0.73,0.7,-0.68
675660,"Drohan, Shane",2026-09-26,-0.149,0.015,141,564,0.2,0.35,-0.49,0.47,-0.46,0.74,-1.12
676440,"Bibee, Tanner",2026-09-26,-0.173,0.017,191,730,-0.09,-0.15,0.17,-0.98,0.31,0.28,-0.24
641927,"Ober, Bailey",2026-09-26,-0.174,0.017,132,598,0.89,1.54,-0.74,0.68,0.27,-1.09,-1.28
669199,"Bachar, Lake",2026-09-26,-0.192,0.019,115,390,0.75,1.31,-0.12,-0.99,0.25,0.45,-1.58
686930,"Barnett, Mason",2026-09-26,-0.199,0.02,167,306,-0.5,-0.87,-0.13,0.9,0.94,-0.87,-0.66
693645,"Schlittler, Cam",2026-09-26,-0.202,0.02,262,762,-0.16,-0.28,0.3,0.01,-0.51,-1.26,1.02
814490,"Pecko, Ethan",2026-09-26,-0.277,0.028,122,416,,,-1.09,0.46,0.94,0.33,-1.46
687473,"Gusto, Ryan",2026-09-26,-0.285,0.028,169,702,-0.11,-0.19,0.32,0.19,0.35,-1.05,-0.63
671737,"Bradley, Taj",2026-09-26,-0.33,0.033,202,847,-0.12,-0.21,0.43,0.48,0.58,-2.4,-0.04
663776,"Sandoval, Patrick",2026-09-26,-0.349,0.035,174,722,-0.38,-0.66,-0.46,0.96,0.44,-0.97,-0.54
677976,"Dobnak, Randy",2026-09-26,-0.396,0.04,197,736,0.01,0.01,-1.03,-0.01,-0.49,0.24,-0.13
623454,"Anderson, Drew",2026-09-26,-0.403,0.04,159,578,-0.99,-1.71,-0.62,1.29,0.54,-0.11,-0.8
663738,"Lynch IV, Daniel",2026-09-26,-0.425,0.043,150,430,-0.46,-0.79,0.24,0.47,-0.16,-0.3,-0.96
681517,"Leahy, Kyle",2026-09-26,-0.44,0.044,136,520,0.02,0.03,0.05,1.02,-1.26,-0.18,-1.21
669467,"Pallante, Andre",2026-09-26,-0.457,0.046,188,538,-0.3,-0.51,-0.98,0.92,-0.48,-0.27,-0.29
641816,"Mahle, Tyler",2026-09-26,-0.459,0.046,286,637,-0.2,-0.36,-1.39,-0.34,-0.78,-0.2,1.44
668909,"Williams, Gavin",2026-09-26,-0.468,0.047,276,737,-0.22,-0.38,-0.62,-0.75,-1.53,0.36,1.27
808825,"Sears, Andrew",2026-09-26,-0.47,0.047,155,210,-0.15,-0.26,0.04,0.03,-0.53,-0.07,-0.87
680570,"Rodriguez, Grayson",2026-09-26,-0.478,0.048,288,743,-0.5,-0.87,-0.2,0.12,-1.0,-1.22,1.48
693433,"Woo, Bryan",2026-09-26,-0.492,0.049,272,626,-0.69,-1.2,0.96,-0.01,-0.84,-1.86,1.2
685299,"Gordon, Tanner",2026-09-26,-0.499,0.05,269,481,-0.74,-1.29,0.02,-0.32,-1.06,-0.26,1.14
687273,"Mathews, Quinn",2026-09-26,-0.509,0.051,195,591,-0.6,-1.04,0.12,-0.42,0.3,-0.6,-0.17
543243,"Gray, Sonny",2026-09-26,-0.515,0.051,180,737,-0.4,-0.69,-0.22,-0.77,-0.58,0.88,-0.43
608331,"Fried, Max",2026-09-26,-0.579,0.058,185,471,-0.87,-1.51,-0.25,0.43,-0.67,0.3,-0.34
592332,"Gausman, Kevin",2026-09-26,-0.651,0.065,195,762,-0.87,-1.51,0.62,-0.33,0.79,-1.7,-0.17
663969,"Phillips, Tyler",2026-09-26,-0.655,0.066,191,489,0.19,0.32,0.78,-0.73,-1.68,-0.78,-0.24
663903,"Singer, Brady",2026-09-26,-0.659,0.066,254,776,,,-0.59,0.09,-1.49,-0.83,0.88
696149,"Chandler, Bubba",2026-09-26,-0.662,0.066,257,713,-0.85,-1.48,-0.11,-0.03,-1.16,-0.49,0.93
701656,"Henderson, Logan",2026-09-26,-0.681,0.068,174,748,0.28,0.48,-0.39,-0.94,-0.92,-0.1,-0.54
690279,"Adams, Mason",2026-09-26,-0.684,0.068,164,304,-0.26,-0.45,-0.76,-0.41,-0.45,0.35,-0.72
605400,"Nola, Aaron",2026-09-26,-0.699,0.07,169,874,-0.68,-1.18,-0.1,0.48,0.13,-1.18,-0.63
543037,"Cole, Gerrit",2026-09-26,-0.734,0.073,272,714,-0.52,-0.9,-1.59,-1.28,0.4,-0.42,1.2
669160,"May, Dustin",2026-09-26,-0.737,0.074,106,554,,,0.06,-0.13,0.07,,-1.74
666157,"Lodolo, Nick",2026-09-26,-0.755,0.076,286,526,-0.55,-0.95,-1.47,-0.14,-1.19,-0.36,1.44
682052,"Lopez, Jacob",2026-09-26,-0.757,0.076,259,756,-0.07,-0.12,-1.43,-1.66,-1.61,1.18,0.97
641743,"Kay, Anthony",2026-09-26,-0.783,0.078,131,786,,,0.57,0.03,-0.23,-1.38,-1.3
801139,"Tolle, Payton",2026-09-26,-0.787,0.079,187,649,-0.83,-1.45,0.17,0.53,-1.27,,-0.31
657277,"Webb, Logan",2026-09-26,-0.803,0.08,92,704,,,-0.45,-1.3,1.09,0.28,-1.99
805074,"Marte, Yunior",2026-09-26,-0.826,0.083,166,215,-0.46,-0.81,-0.57,-1.62,-0.06,0.81,-0.68
675512,"Melton, Troy",2026-09-26,-0.851,0.085,159,733,-0.06,-0.11,-1.11,-0.54,-1.15,0.69,-0.8
808967,"Yamamoto, Yoshinobu",2026-09-26,-0.91,0.091,179,695,-0.17,-0.3,-0.11,-0.95,-0.84,-0.58,-0.45
687570,"Prielipp, Connor",2026-09-26,-0.922,0.092,247,593,-0.6,-1.04,-1.51,-0.94,-0.54,0.01,0.75
690997,"McLean, Nolan",2026-09-26,-0.94,0.094,164,772,,,-1.08,-0.44,0.22,-0.75,-0.72
615698,"Quantrill, Cal",2026-09-26,-0.946,0.095,82,714,-0.14,-0.24,-0.83,1.16,-0.48,-0.8,-2.17
453286,"Scherzer, Max",2026-09-26,-0.966,0.097,166,681,-0.8,-1.39,0.01,-0.49,-0.15,-0.73,-0.68
669302,"Gilbert, Logan",2026-09-26,-1.01,0.101,181,774,-0.49,-0.85,-0.06,-0.3,-0.6,-1.35,-0.41
702070,"Cameron, Noah",2026-09-26,-1.022,0.102,280,770,-0.38,-0.66,-1.71,-1.92,-0.87,0.2,1.34
527048,"Pérez, Martín",2026-09-26,-1.032,0.103,169,632,,,-1.02,-0.24,-1.06,-0.1,-0.63
608379,"Wacha, Michael",2026-09-26,-1.107,0.111,213,756,-0.3,-0.51,-0.9,-1.08,-1.37,-0.21,0.15
694738,"Roupp, Landen",2026-09-26,-1.12,0.112,88,702,,,-1.07,0.09,0.6,-0.87,-2.06
621111,"Buehler, Walker",2026-09-26,-1.253,0.125,181,633,-0.63,-1.09,-0.22,0.35,-0.39,-2.67,-0.41
663554,"Mize, Casey",2026-09-26,-1.309,0.131,220,545,-0.66,-1.14,-0.46,-0.68,-1.9,-0.74,0.28
687562,"Bennett, Jake",2026-09-26,-1.355,0.135,156,664,-0.95,-1.65,-0.68,-0.89,-0.08,-0.65,-0.86
690986,"Harrison, Kyle",2026-09-26,-1.385,0.139,101,519,2.09,3.64,-1.97,-2.27,-1.65,,-1.83
594798,"deGrom, Jacob",2026-09-26,-1.561,0.156,263,684,-0.71,-1.23,-1.03,-1.08,-1.73,-1.49,1.04
669461,"Liberatore, Matthew",2026-09-26,-1.586,0.159,163,714,-0.58,-1.01,-0.87,-0.28,-0.99,-1.73,-0.73
669713,"Wesneski, Hayden",2026-09-26,-1.746,0.175,141,676,-0.49,-0.86,-1.81,-1.57,-1.32,0.5,-1.12
579328,"Kikuchi, Yusei",2026-09-26,-1.766,0.177,191,358,-1.0,-1.74,-1.98,-1.97,-1.15,0.82,-0.24
607536,"Freeland, Kyle",2026-09-26,-1.951,0.195,119,377,-1.06,-1.84,-1.06,-0.7,-0.61,-1.18,-1.51
669358,"Baz, Shane",2026-09-26,-1.952,0.195,161,736,-0.29,-0.51,-1.62,-1.26,-1.82,-0.94,-0.77
656302,"Cease, Dylan",2026-09-26,-2.25,0.225,168,788,-1.57,-2.73,-0.34,-0.24,-2.09,-1.93,-0.64
664299,"Javier, Cristian",2026-09-26,-2.323,0.232,130,585,-0.29,-0.5,-1.9,-1.26,-2.31,-0.94,-1.32
669022,"Gore, MacKenzie",2026-09-26,-2.5,0.25,146,824,-0.85,-1.48,-3.15,-2.09,-1.9,-0.78,-1.03
622491,"Castillo, Luis",2026-09-26,-2.5,0.25,93,602,-1.55,-2.69,-1.95,-1.63,-1.66,-2.14,-1.97
